canonical_name	abbreviation	format	standard_status	in_anno	in_ydb	anno_section	ydb_section	conflict_id	notes
ABLOCK	AB	AB[LOCK] postcond [ SP ] SP ablockargument	ansi	true	false	pages/a108019.html#8.2.1		CONF-001	
ASSIGN		assignargument ::= assigndestination = object @ expratom V L assignargument	ansi	true	false	pages/a108020.html#8.2.2		CONF-002	
ASTART	ASTA	ASTA[RT] postcond [ SP ] SP ablockargument	ansi	true	false	pages/a108021.html#8.2.3		CONF-003	
ASTOP	ASTO	ASTO[P] postcond [ SP ] SP ablockargument	ansi	true	false	pages/a108022.html#8.2.4		CONF-004	
AUNBLOCK	AUNB	AUNB[LOCK] postcond [ SP ] SP ablockargument	ansi	true	false	pages/a108023.html#8.2.5		CONF-005	
BREAK	B	B[REAK][:tvexpr] [expr[:tvexpr][,...]]	ansi	true	true	pages/a108024.html#8.2.1	ProgrammersGuide/commands.rst#Break		
CLOSE	C	C[LOSE][:tvexpr] expr[:(keyword[=expr][:...])][,...]	ansi	true	true	pages/a108025.html#8.2.2	ProgrammersGuide/commands.rst#Close		
DO	D	D[O][:tvexpr] [entryref[(expr|.lvn[,...])][:tvexpr][,...]]	ansi	true	true	pages/a108026.html#8.2.3	ProgrammersGuide/commands.rst#Do		
ELSE	E	E[LSE]	ansi	true	true	pages/a108027.html#8.2.4	ProgrammersGuide/commands.rst#Else		
ESTART	ESTA	ESTA[RT] postcond [ SP ] SP estartargument	ansi	true	false	pages/a108028.html#8.2.10		CONF-006	
ESTOP		Previous MDC examples Next	ansi	true	false	pages/a108029.html#8.2.11		CONF-007	
ETRIGGER		especref ::= expr V ^$W[INDOW] ( expec ) [ : einforef ] expr V ^$J[OB] ( erspec )	ansi	true	false	pages/a108030.html#8.2.12		CONF-008	
FOR	F	F[OR][lvn=expr[:numexpr1[:numexpr2]][,...]]]	ansi	true	true	pages/a108031.html#8.2.5	ProgrammersGuide/commands.rst#For		
GOTO	G	G[OTO][:tvexpr] entryref[:tvexpr][,...]	ansi	true	true	pages/a108032.html#8.2.6	ProgrammersGuide/commands.rst#Goto		
HALT	H	H[ALT][:tvexpr]	ansi	true	true	pages/a108033.html#8.2.7	ProgrammersGuide/commands.rst#HALT		
HANG	H	H[ANG][:tvexpr] numexpr[,...]	ansi	true	true	pages/a108034.html#8.2.8	ProgrammersGuide/commands.rst#HANG		
IF	I	I[F] [tvexpr[,...]]	ansi	true	true	pages/a108035.html#8.2.9	ProgrammersGuide/commands.rst#If		
JOB	J	J[OB][:tvexpr] entryref[(expr[,...])]	ansi	true	true	pages/a108036.html#8.2.10	ProgrammersGuide/commands.rst#Job		
KILL	K	K[ILL][:tvexpr] [glvn | (lvn[,...]) | *lname | *lvn ]	ansi	true	true	pages/a108037.html#8.2.11	ProgrammersGuide/commands.rst#Kill		
KSUBSCRIPTS		a) glvn : Selective Kill.	ansi	true	false	pages/a108038.html#8.2.20		CONF-009	
KVALUE		a) glvn : Selective Kill.	ansi	true	false	pages/a108039.html#8.2.21		CONF-010	
LOCK	L	L[OCK][:tvexpr] [[-|+]nref|(nref[,...])[:numexpr] [,...]]	ansi	true	true	pages/a108040.html#8.2.12	ProgrammersGuide/commands.rst#Lock		
MERGE	M	M[ERGE][:tvexpr] glvn1=glvn2[,...]	ansi	true	true	pages/a108041.html#8.2.13	ProgrammersGuide/commands.rst#Merge		
NEW	N	N[EW][:tvexpr] [[(]lvn[,...][)][,...]]	ansi	true	true	pages/a108042.html#8.2.14	ProgrammersGuide/commands.rst#New		
OPEN	O	O[PEN][:tvexpr] expr[:[(keyword[=expr][:...])] [:numexpr]][,...]	ansi	true	true	pages/a108043.html#8.2.15	ProgrammersGuide/commands.rst#Open		
QUIT	Q	Q[UIT][:tvexpr] [expr | *lname | *lvn]	ansi	true	true	pages/a108044.html#8.2.16	ProgrammersGuide/commands.rst#Quit		
READ	R	R[EAD][:tvexpr] (glvn|*glvn|glvn#intexpr)[:numexpr]|strlit|fcc[,...]	ansi	true	true	pages/a108045.html#8.2.17	ProgrammersGuide/commands.rst#READ		
RLOAD		routineargument ::= routineref : glvn [ : routineparameters ] @ expratom V L routineargument	ansi	true	false	pages/a108046.html#8.2.28		CONF-011	
RSAVE		Previous MDC examples Next	ansi	true	false	pages/a108047.html#8.2.29		CONF-012	
SET	S	S[ET][:tvexpr] setleft=expr | (setleft[,...])=expr | *lvn=lname | aliascontainer[,...]	ansi	true	true	pages/a108048.html#8.2.18	ProgrammersGuide/commands.rst#Set		
TCOMMIT	TC	TC[OMMIT][:tvexpr]	ansi	true	true	pages/a108049.html#8.2.19	ProgrammersGuide/commands.rst#TCommit		
THEN		Previous MDC examples Next	ansi	true	false	pages/a108050.html#8.2.32		CONF-013	
