in_anno	in_ydb	ydb_section	standard_status	mnemonic	summary	kind
false	true	MessageRecovery/errors.rst#ABNCOMPTINC	ydb-extension	ABNCOMPTINC	Deviceparameter xxxx and deviceparameter yyyy are not compatible in the zzzz command	Compile Time Error
false	true	MessageRecovery/errors.rst#ACOMPTBINC	ydb-extension	ACOMPTBINC	Deviceparameter xxxx is compatible with only yyyy in the command zzzz	Run Time Error
false	true	MessageRecovery/errors.rst#ACTCOLLMISMTCH	ydb-extension	ACTCOLLMISMTCH	Global ^gggg inherits alternative collation sequence #nnnn from global directory but database file dddd contains different collation sequence #mmmm for this global	Run Time Error
false	true	MessageRecovery/errors.rst#ACTIVATEFAIL	ydb-extension	ACTIVATEFAIL	Cannot activate passive source server on instance iiii while a receiver server and/or update process is running	Error
false	true	MessageRecovery/errors.rst#ACTLSTTOOLONG	ydb-extension	ACTLSTTOOLONG	More actual parameters than formal parameters: xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#ACTOFFSET	ydb-extension	ACTOFFSET	Actuallist not allowed with offset	Compile Time Error
false	true	MessageRecovery/errors.rst#ACTRANGE	ydb-extension	ACTRANGE	Alternate Collating Type xxxx is out of range	Run Time Error
false	true	MessageRecovery/errors.rst#ADDRTOOLONG	ydb-extension	ADDRTOOLONG	Socket address xxxx of length aaaa is longer than the maximum permissible length bbbb	Run Time Error
false	true	MessageRecovery/errors.rst#AIMGBLKFAIL	ydb-extension	AIMGBLKFAIL	After image build for block bbbb in region rrrr failed in DSE or MUPIP	Error
false	true	MessageRecovery/errors.rst#AIOBUFSTUCK	ydb-extension	AIOBUFSTUCK	Waited mmmm minutes for PID: pppp to finish AIO disk write of block: bbbb xxxx aio_error=yyyy	Warning
false	true	MessageRecovery/errors.rst#AIOCANCELTIMEOUT	ydb-extension	AIOCANCELTIMEOUT	Pid pppp timed out waiting for pending async io to complete/cancel in database file ffff	Run Time Error
false	true	MessageRecovery/errors.rst#AIOQUEUESTUCK	ydb-extension	AIOQUEUESTUCK	Waited mmmm minutes for AIO work queue to complete (cr = rrrr)	Run Time Error
false	true	MessageRecovery/errors.rst#ALIASEXPECTED	ydb-extension	ALIASEXPECTED	Alias or alias container variable expected in this context	Run Time Error
false	true	MessageRecovery/errors.rst#AMBISYIPARAM	ydb-extension	AMBISYIPARAM	Parameter xxxx is ambiguous to $ZGETSYI()	Run Time Error
false	true	MessageRecovery/errors.rst#ANCOMPTINC	ydb-extension	ANCOMPTINC	Deviceparameter xxxx is not compatible with any other deviceparameters in the yyyy command	Compile Time Error
false	true	MessageRecovery/errors.rst#APDCONNFAIL	ydb-extension	APDCONNFAIL	Audit Principal Device failed to connect to audit logger	Run Time Error
false	true	MessageRecovery/errors.rst#APDINITFAIL	ydb-extension	APDINITFAIL	Audit Principal Device failed to initialize audit information	Run Time Error
false	true	MessageRecovery/errors.rst#APDLOGFAIL	ydb-extension	APDLOGFAIL	Audit Principal Device failed to log activity	Run Time Error
false	true	MessageRecovery/errors.rst#ARCTLMAXHIGH	ydb-extension	ARCTLMAXHIGH	The environment variable XXXX = YYYY is too high. Assuming the maximum acceptable value of ZZZZ	Warning
false	true	MessageRecovery/errors.rst#ARCTLMAXLOW	ydb-extension	ARCTLMAXLOW	The environment variable XXXX = YYYY is too low. Assuming the minimum acceptable value of ZZZZ	Warning
false	true	MessageRecovery/errors.rst#ARGSLONGLINE	ydb-extension	ARGSLONGLINE	Entered line is greater than maximum characters allowed (nnnn)	Warning
false	true	MessageRecovery/errors.rst#ARGTRUNC	ydb-extension	ARGTRUNC	UUUU argument number CCCC truncated. Keep the size of total command line within NNNN bytes	Warning
false	true	MessageRecovery/errors.rst#ARROWNTDSP	ydb-extension	ARROWNTDSP	Unable to display ^----- due to length of source line	Compile Time Error
false	true	MessageRecovery/errors.rst#ASSERT	ydb-extension	ASSERT	Assert failed in xxxx line yyyy for expression zzzz	Run Time Error
false	true	MessageRecovery/errors.rst#ASYNCIONOMM	ydb-extension	ASYNCIONOMM	Database file ffffssss cannot cccc	Error
false	true	MessageRecovery/errors.rst#AUDCONNFAIL	ydb-extension	AUDCONNFAIL	Audit XXXX facility failed to connect to audit logger	Run Time Error
false	true	MessageRecovery/errors.rst#AUDINITFAIL	ydb-extension	AUDINITFAIL	Audit XXXX facility failed to initialize audit information	Run Time Error
false	true	MessageRecovery/errors.rst#AUDLOGFAIL	ydb-extension	AUDLOGFAIL	Audit XXXX facility failed to log command	Run Time Error
false	true	MessageRecovery/errors.rst#AUTODBCREFAIL	ydb-extension	AUTODBCREFAIL	Automatic creation of database file DDDD associated with region RRRR failed; see associated messages for details	Error
false	true	MessageRecovery/errors.rst#BACKUPCTRL	ydb-extension	BACKUPCTRL	Control Y or control C encountered during backup, aborting backup	Warning
