canonical_name	abbreviation	format	standard_status	in_anno	in_ydb	in_iris	anno_section	ydb_section	iris_section	conflict_id	notes
$DEVICE	$D	$D[EVICE]	ansi	true	true	true	pages/a107058.html#7.1.4.10	ProgrammersGuide/isv.rst#$DEVICE	site/RCOS_vdevice.html#RCOS_vdevice		
$ECODE	$EC	$EC[ODE]	ansi	true	true	true	pages/a107059.html#7.1.4.10	ProgrammersGuide/isv.rst#$ECODE	site/RCOS_vecode.html#RCOS_vecode		
$ESTACK	$ES	$ES[TACK]	ansi	true	true	true	pages/a107060.html#7.1.4.10	ProgrammersGuide/isv.rst#$ESTACK	site/RCOS_vestack.html#RCOS_vestack		
$ETRAP	$ET	$ET[RAP]	ansi	true	true	true	pages/a107061.html#7.1.4.10	ProgrammersGuide/isv.rst#$ETRAP	site/RCOS_vetrap.html#RCOS_vetrap		
$HALT		$HALT	iris-extension	false	false	true			site/RCOS_vhalt.html#RCOS_vhalt		
$HOROLOG	$H	$H[OROLOG]	ansi	true	true	true	pages/a107062.html#7.1.4.10	ProgrammersGuide/isv.rst#$HOROLOG	site/RCOS_vhorolog.html#RCOS_vhorolog		
$IO	$I	$I[O]	ansi	true	true	true	pages/a107063.html#7.1.4.10	ProgrammersGuide/isv.rst#$IO	site/RCOS_vio.html#RCOS_vio		
$JOB	$J	$J[OB]	ansi	true	true	true	pages/a107065.html#7.1.4.10	ProgrammersGuide/isv.rst#$JOB	site/RCOS_vjob.html#RCOS_vjob		
$KEY	$K	$K[EY]	ansi	true	true	true	pages/a107066.html#7.1.4.10	ProgrammersGuide/isv.rst#$KEY	site/RCOS_vkey.html#RCOS_vkey		
$NAMESPACE		$NAMESPACE SET $NAMESPACE= namespace NEW $NAMESPACE	iris-extension	false	false	true			site/RCOS_vnamespace.html#RCOS_vnamespace		
$PRINCIPAL	$P	$P[RINCIPAL]	ansi	true	true	true	pages/a107068.html#7.1.4.10	ProgrammersGuide/isv.rst#$PRINCIPAL	site/RCOS_vprincipal.html#RCOS_vprincipal		
$QUIT	$Q	$Q[UIT]	ansi	true	true	true	pages/a107069.html#7.1.4.10	ProgrammersGuide/isv.rst#$QUIT	site/RCOS_vquit.html#RCOS_vquit		
$REFERENCE	$R	$R[EFERENCE]	ydb-extension	false	true	false		ProgrammersGuide/isv.rst#$REFERENCE			
$ROLES		$ROLES	iris-extension	false	false	true			site/RCOS_vroles.html#RCOS_vroles		
$STACK	$ST	$ST[ACK]	ansi	true	true	false	pages/a107071.html#7.1.4.10	ProgrammersGuide/isv.rst#$STACK			
$STORAGE	$S	$S[TORAGE]	ansi	true	true	true	pages/a107072.html#7.1.4.10	ProgrammersGuide/isv.rst#$STORAGE	site/RCOS_vstorage.html#RCOS_vstorage		
