concept	name	pragmatic_tier	standard_status	in_anno	in_ydb	in_iris	anno_section	ydb_section	iris_section
commands	ABLOCK	ansi-unimplemented	ansi	true	false	false	pages/a108019.html#8.2.1		
commands	ASSIGN	ansi-unimplemented	ansi	true	false	false	pages/a108020.html#8.2.2		
commands	ASTART	ansi-unimplemented	ansi	true	false	false	pages/a108021.html#8.2.3		
commands	ASTOP	ansi-unimplemented	ansi	true	false	false	pages/a108022.html#8.2.4		
commands	AUNBLOCK	ansi-unimplemented	ansi	true	false	false	pages/a108023.html#8.2.5		
commands	BREAK	core	ansi	true	true	true	pages/a108024.html#8.2.1	ProgrammersGuide/commands.rst#Break	site/RCOS_cbreak.html#RCOS_cbreak
commands	CATCH	iris-only	iris-extension	false	false	true			site/RCOS_ccatch.html#RCOS_ccatch
commands	CLOSE	core	ansi	true	true	true	pages/a108025.html#8.2.2	ProgrammersGuide/commands.rst#Close	site/RCOS_cclose.html#RCOS_cclose
commands	CONTINUE	iris-only	iris-extension	false	false	true			site/RCOS_ccontinue.html#RCOS_ccontinue
commands	DO	core	ansi	true	true	true	pages/a108026.html#8.2.3	ProgrammersGuide/commands.rst#Do	site/RCOS_cdo.html#RCOS_cdo
commands	ELSE	core	ansi	true	true	true	pages/a108027.html#8.2.4	ProgrammersGuide/commands.rst#Else	site/RCOS_celse.html#RCOS_celse
commands	ELSEIF	iris-only	iris-extension	false	false	true			site/RCOS_celseif.html#RCOS_celseif
commands	ESTART	ansi-unimplemented	ansi	true	false	false	pages/a108028.html#8.2.10		
commands	ESTOP	ansi-unimplemented	ansi	true	false	false	pages/a108029.html#8.2.11		
commands	ETRIGGER	ansi-unimplemented	ansi	true	false	false	pages/a108030.html#8.2.12		
commands	FOR	core	ansi	true	true	true	pages/a108031.html#8.2.5	ProgrammersGuide/commands.rst#For	site/RCOS_cfor.html#RCOS_cfor
commands	GOTO	core	ansi	true	true	true	pages/a108032.html#8.2.6	ProgrammersGuide/commands.rst#Goto	site/RCOS_cgoto.html#RCOS_cgoto
commands	HALT	core	ansi	true	true	true	pages/a108033.html#8.2.7	ProgrammersGuide/commands.rst#HALT	site/RCOS_chalt.html#RCOS_chalt
commands	HANG	core	ansi	true	true	true	pages/a108034.html#8.2.8	ProgrammersGuide/commands.rst#HANG	site/RCOS_chang.html#RCOS_chang
commands	IF	core	ansi	true	true	true	pages/a108035.html#8.2.9	ProgrammersGuide/commands.rst#If	site/RCOS_cif.html#RCOS_cif
commands	JOB	core	ansi	true	true	true	pages/a108036.html#8.2.10	ProgrammersGuide/commands.rst#Job	site/RCOS_cjob.html#RCOS_cjob
commands	KILL	core	ansi	true	true	true	pages/a108037.html#8.2.11	ProgrammersGuide/commands.rst#Kill	site/RCOS_ckill.html#RCOS_ckill
commands	KSUBSCRIPTS	ansi-unimplemented	ansi	true	false	false	pages/a108038.html#8.2.20		
commands	KVALUE	ansi-unimplemented	ansi	true	false	false	pages/a108039.html#8.2.21		
commands	LOCK	core	ansi	true	true	true	pages/a108040.html#8.2.12	ProgrammersGuide/commands.rst#Lock	site/RCOS_clock.html#RCOS_clock
commands	MERGE	core	ansi	true	true	true	pages/a108041.html#8.2.13	ProgrammersGuide/commands.rst#Merge	site/RCOS_cmerge.html#RCOS_cmerge
commands	NEW	core	ansi	true	true	true	pages/a108042.html#8.2.14	ProgrammersGuide/commands.rst#New	site/RCOS_cnew.html#RCOS_cnew
commands	OPEN	core	ansi	true	true	true	pages/a108043.html#8.2.15	ProgrammersGuide/commands.rst#Open	site/RCOS_copen.html#RCOS_copen
