mnemonic	summary	kind	standard_status_hint	source_section
M1	naked indicator undefined		ansi	pages/ab00001.html#M1
M2	invalid combination with P fncodatom		ansi	pages/ab00002.html#M2
M3	$Random seed less than 1		ansi	pages/ab00003.html#M3
M4	no true condition in $Select		ansi	pages/ab00004.html#M4
M5	lineref less than zero		ansi	pages/ab00005.html#M5
M6	undefined lvn		ansi	pages/ab00006.html#M6
M7	undefined gvn		ansi	pages/ab00007.html#M7
M8	undefined svn		ansi	pages/ab00008.html#M8
M9	divide by zero		ansi	pages/ab00009.html#M9
M10	invalid pattern match range		ansi	pages/ab00010.html#M10
M11	no parameters passed		ansi	pages/ab00011.html#M11
M12	invalid lineref (negative offset)		ansi	pages/ab00012.html#M12
M13	invalid lineref (line not found)		ansi	pages/ab00013.html#M13
M14	line level not 1		ansi	pages/ab00014.html#M14
M15	undefined index variable		ansi	pages/ab00015.html#M15
M16	argumented Quit not allowed		ansi	pages/ab00016.html#M16
M17	argumented Quit required		ansi	pages/ab00017.html#M17
M18	fixed length Read not greater than zero		ansi	pages/ab00018.html#M18
M19	cannot copy a tree or subtree into itself		ansi	pages/ab00019.html#M19
M20	line must have formallist		ansi	pages/ab00020.html#M20
M21	algorithm specification invalid		ansi	pages/ab00021.html#M21
M22	Set or Kill to ^$Global when data in global		ansi	pages/ab00022.html#M22
M23	Set or Kill to ^$Job for non-existent job number		ansi	pages/ab00023.html#M23
M24	change to collation algorithm while subscripted local variables defined		ansi	pages/ab00024.html#M24
M25	RSave to currently executing routine		ansi	pages/ab00025.html#M25
M26	non-existent environment		ansi	pages/ab00026.html#M26
M27	attempt to rollback a transaction that is not restartable		ansi	pages/ab00027.html#M27
M28	mathematical function, parameter out of range		ansi	pages/ab00028.html#M28
M29	Set or Kill on ssvn not allowed by implementation		ansi	pages/ab00029.html#M29
M30	reference to glvn with different collating sequence within a collating algorithm		ansi	pages/ab00030.html#M30
M31	controlmnemonic used for device without a mnemonicspace selected		ansi	pages/ab00031.html#M31
M32	controlmnemonic used in user-defined mnemonicspace which as no associated line		ansi	pages/ab00032.html#M32
M33	Set or Kill to ^$Routine when routine exists		ansi	pages/ab00033.html#M33
M34	This error code is not currently assigned		ansi	pages/ab00034.html#M34
M35	device does not support mnemonicspace		ansi	pages/ab00035.html#M35
M36	incompatible mnemonicspace s		ansi	pages/ab00036.html#M36
M37	Read from device identified by the empty string		ansi	pages/ab00037.html#M37
M38	invalid ssvn subscript		ansi	pages/ab00038.html#M38
M39	invalid $NAme argument		ansi	pages/ab00039.html#M39
M40	call-by-reference in Job actual		ansi	pages/ab00040.html#M40
M41	invalid Lock argument within a TRANSACTION		ansi	pages/ab00041.html#M41
M42	invalid Quit within a TRANSACTION		ansi	pages/ab00042.html#M42
M43	invalid range value ( $X , $Y )		ansi	pages/ab00043.html#M43
M44	invalid command outside of a TRANSACTION		ansi	pages/ab00044.html#M44
M45	invalid Goto reference		ansi	pages/ab00045.html#M45
M46	This error code is assigned to X11.6, MWAPI		ansi	pages/ab00046.html#M46
M47	Invalid attribute value		ansi	pages/ab00047.html#M47
M48	This error code is assigned to X11.6, MWAPI		ansi	pages/ab00048.html#M48
