canonical_name	abbreviation	section_number	format	standard_status_hint	source_section	description
$ASCII	$A	7.1.5.1	$A[SCII] ( expr )	ansi	pages/a107084.html#7.1.5.1	This form produces an integer value as follows:
$CHAR	$C	7.1.5.2	$C[HAR] ( L intexpr )	ansi	pages/a107085.html#7.1.5.2	This form returns a string whose length is the number of argument expressions which have nonnegative values. Each intexpr in the closed interval [0,127] maps into the ASCII character whose code is the value of intexpr ; this mapping is order-preserving. Each negative-valued intexpr maps into no character in the value of $Char . Each intexpr greater than 127 maps into a character in a manner defined by the current charset of the process.
$DATA	$D	7.1.5.3	$D[ATA] ( glvn )	ansi	pages/a107086.html#7.1.5.3	This form returns a nonnegative integer which is a characterization of the glvn . The value of the integer is p + d , where:
$DEXTRACT	$DE	7.1.5.4	$DE[XTRACT] ( [ initialrecordvalue ] , extracttemplate , L [ recordfieldvalue ] )	ansi	pages/a107087.html#7.1.5.4	This function assembles the expr s of the recordfieldvalue into a single value. The value of the initialrecordvalue is used as the starting value to which the recordfieldvalues are applied. If initialrecordvalue is omitted, the empty string is used.
$DPIECE	$DP	7.1.5.5	$DP[IECE] ( [ initialrecordvalue ] , piecedelimiter , L [ recordfieldvalue ] )	ansi	pages/a107088.html#7.1.5.5	This function assembles the expr s of the recordfieldvalue s into a single value. The value of initialrecordvalue is used as the starting value to which the recordfieldvalue s are applied. If initialrecordvalue is omitted, the empty string is used. The piecedelimiter specifies the relative field number. If omitted, it defaults to the next successive value. For omitted recordfieldvalue s the corresponding field is obtained from the initialrecordvalue . Although all elements of the list of recordfieldvalue s are optional, at least one recordfieldvalue (not necessarily the first) in the list must be non-empty.
$EXTRACT	$E	7.1.5.4	$E[XTRACT] ( expr )	ansi	pages/a107089.html#7.1.5.4	This form returns the first (leftmost) character of the value of expr . If the value of expr is the empty string, the empty string is returned.
$FIND	$F	7.1.5.5	$F[IND] ( expr 1 , expr 2 )	ansi	pages/a107090.html#7.1.5.5	This form searches for the leftmost occurrence of the value of expr 2 in the value of expr 1 . If none is found, $Find returns zero. If one is found, the value returned is the integer representing the number of the character position immediately to the right of the rightmost character of the found occurrence of expr 2 in expr 1 . In particular, if the value of expr 2 is empty, $Find returns 1.
$FNUMBER	$FN	7.1.5.6	$FN[UMBER] ( numexpr , fncodexpr )	ansi	pages/a107091.html#7.1.5.6	This form returns a value which is an edited form of numexpr . Each fncodatom is applied to numexpr in formatting the results by the following rules (order of processing is not significant):
$GET	$G	7.1.5.7	$G[ET] ( glvn )	ansi	pages/a107092.html#7.1.5.7	This form returns the value of the specified glvn depending on its state, defined by $Data ( glvn ). The following cases are defined:
$HOROLOG	$H	7.1.5.10	$H[OROLOG] ( intexpr )	ansi	pages/a107093.html#7.1.5.10	This form gives date, time, and time-offset with one access. Let m be the value of intexpr , and let:
$JUSTIFY	$J	7.1.5.8	$J[USTIFY] ( expr , intexpr )	ansi	pages/a107094.html#7.1.5.8	This form returns the value of expr right-justified in a field of intexpr spaces. Let m be $Length ( expr ) and n be the value of intexpr . The following cases are defined:
$LENGTH	$L	7.1.5.9	$L[ENGTH] ( expr )	ansi	pages/a107095.html#7.1.5.9	This form returns an integer which is the number of characters in the value of expr . If the value of expr is the empty string, $Length ( expr ) returns the value 0.
$MUMPS	$M	7.1.5.13	$M[UMPS] ( expr )	ansi	pages/a107097.html#7.1.5.13	Let s be the value of expr with eol appended.
$NAME	$NA	7.1.5.10	$NA[ME] ( glvn )	ansi	pages/a107098.html#7.1.5.10	This form returns a string value which is the namevalue denoting the named glvn . Note that naked references are permitted in the argument, but that the returned value is always a non-naked reference. If glvn includes an environment , then the namevalue shall include that environment ; otherwise the namevalue shall not include an environment .
$ORDER	$O	7.1.5.11	$O[RDER] ( glvn )	ansi	pages/a107100.html#7.1.5.11	This form returns a value which is a subscript according to a subscript ordering sequence. This ordering sequence is specified below with the aid of a function, CO, which is used for definitional purposes only, to establish the collating sequence.
$PIECE	$P	7.1.5.12	$P[IECE] ( expr 1 , expr 2 )	ansi	pages/a107101.html#7.1.5.12	This form is defined here with the aid of a function, NF, which is used for definitional purposes only, called find the position number following the m th occurrence .
$QLENGTH	$QL	7.1.5.13	$QL[ENGTH] ( namevalue )	ansi	pages/a107102.html#7.1.5.13	See 7.1.4.12 for the definition of namevalue .
$QSUBSCRIPT	$QS	7.1.5.14	$QS[UBSCRIPT] ( namevalue , intexpr )	ansi	pages/a107103.html#7.1.5.14	This form returns a value which is derived from namevalue . If namevalue has the form NAME( s 1 , s 2 , ... , s n ), considering n to be zero if there are no subscripts, and m is the value of intexpr , then $QSubscript ( namevalue , intexpr ) is defined as follows:
$QUERY	$Q	7.1.5.15	$Q[UERY] ( glvn )	ansi	pages/a107104.html#7.1.5.15	Follow these steps:
$RANDOM	$R	7.1.5.16	$R[ANDOM] ( intexpr )	ansi	pages/a107105.html#7.1.5.16	"This form returns a random or pseudo-random integer uniformly distributed in the closed interval [0, intexpr 1]. If the value of intexpr is less than 1, an error condition occurs with ecode ="" M3 ""."
$REVERSE	$RE	7.1.5.17	$RE[VERSE] ( expr )	ansi	pages/a107106.html#7.1.5.17	See Clause 7 for the definition of expr .
$SELECT	$S	7.1.5.18	$S[ELECT] ( L | tvexpr : expr | )	ansi	pages/a107107.html#7.1.5.18	"This form returns the value of the leftmost expr whose corresponding tvexpr is true. The process of evaluation consists of evaluating the tvexpr s, one at a time in left-to-right order, until the first one is found whose value is true. The expr corresponding to this tvexpr (and no other) is evaluated and this value is made the value of $Select . An error condition occurs, with ecode ="" M4 "", if all tvexpr s are false. Since only one expr is evaluated at any invocation of $Select , that is the only expr which must have a defined value."
$STACK	$ST	7.1.5.19	$ST[ACK] ( intexpr )	ansi	pages/a107108.html#7.1.5.19	This form returns a string as follows:
$TEXT	$T	7.1.5.20	$T[EXT] ( textarg )	ansi	pages/a107109.html#7.1.5.20	This form returns a string whose value is the contents of the line specified by the argument. Specifically, the entire line , with eol deleted, is returned.
$TRANSLATE	$TR	7.1.5.21	$TR[ANSLATE] ( expr 1 , expr 2 )	ansi	pages/a107111.html#7.1.5.21	Let s be the value of expr 1 , $TRanslate ( expr 1 , expr 2 ) returns an edited form of s in which all characters in s which are found in expr 2 are removed.
$TYPE	$TY	7.1.5.25	$TY[PE] ( expratom )	ansi	pages/a107110.html#7.1.5.25	"This form returns the string value ""MVAL"" if the value of the expratom is not a value of data type OREF. Otherwise, $TYpe returns the string ""OBJECT""."
$VIEW	$V	7.1.5.22	$V[IEW] ( unspecified )	ansi	pages/a107112.html#7.1.5.22	makes available to the implementor a call for examining machine-dependent information. It is to be understood that routines containing occurrences of $View may not be portable.
$Z	$Z	7.1.5.23	$Z[unspecified] ( unspecified )	ansi	pages/a107113.html#7.1.5.23	is the initial letter reserved for defining non-standard intrinsic functions. This requirement permits the unused function names to be reserved for future use.
