canonical_name	abbreviation	format	standard_status_hint	source_section	description
BREAK		BREAK: pc extend B: pc extend BREAK: pc flag B: pc flag	ansi	site/RCOS_cbreak.html#RCOS_cbreak	The BREAK command has three syntax forms:
CATCH		CATCH exceptionvar { . . . }	ansi	site/RCOS_ccatch.html#RCOS_ccatch	The CATCH command defines an exception handler, a block of code to execute when an exception occurs in a TRY block of code. The CATCH command is followed by a block of code statements, enclosed in curly braces.
CLOSE		CLOSE: pc closearg ,... C: pc closearg ,...	ansi	site/RCOS_cclose.html#RCOS_cclose	CLOSE device releases ownership of the specified device, optionally sets a parameter , and returns it to the pool of available devices.
CONTINUE		CONTINUE: pc	ansi	site/RCOS_ccontinue.html#RCOS_ccontinue	The CONTINUE command is used within the code block following a FOR, WHILE, or DO WHILE command. CONTINUE causes execution to jump back to the FOR, WHILE, or DO WHILE command. The FOR, WHILE, or DO WHILE command evaluates its test condition, and, based on that evaluation, re-executes the code block loop. Thus, the CONTINUE command has exactly the same effect on execution as reaching the closing curly brace ( } ) of the code block.
DO		DO: pc doargument ,... D: pc doargument ,...	ansi	site/RCOS_cdo.html#RCOS_cdo	The DO command and the DO WHILE command are separate and unrelated commands. This page documents the DO command. In the DO WHILE command, the DO keyword and the WHILE keyword may be separated by several lines of code; however, you can immediately identify a DO WHILE command because the DO keyword is followed by an open curly brace.
ELSE		ELSE { code }	ansi	site/RCOS_celse.html#RCOS_celse	ELSE is not a separate command, but a clause of the block-oriented IF command. You can specify a single ELSE clause as the final clause of an IF command, or you can omit the ELSE clause. Refer to the IF command for details and examples.
ELSEIF		ELSEIF expression ,... { code }	ansi	site/RCOS_celseif.html#RCOS_celseif	ELSEIF is not a separate command, but a clause of the block-oriented IF command. You can specify one or more ELSEIF clauses in an IF command, or you can omit the ELSEIF clause.
FOR		FOR var = forparameter { code } F var = forparameter { code } FOR var = forparameter , forparameter2 ,... { code } F var = forparameter , forparameter2 ,... { code }	ansi	site/RCOS_cfor.html#RCOS_cfor	FOR is a block-oriented command. Commonly, it consists of a counter and an executable block of code enclosed in curly braces. The number of times this block of code is executed is determined by the counter, which is tested at the top of each loop. Less commonly, a FOR command does not specify an incrementing counter. It can be argumentless (looping infinitely until exited), or can specify an expression as its argument (looping once).
GOTO		GOTO: pc GOTO: pc goargument ,... G: pc G: pc goargument ,...	ansi	site/RCOS_cgoto.html#RCOS_cgoto	The GOTO command has two forms:
HALT		HALT: pc H: pc	ansi	site/RCOS_chalt.html#RCOS_chalt	The HALT command terminates execution of the current process. If a $HALT special variable is defined in the current context (or a prior context), issuing a HALT command invokes the halt trap routine specified in $HALT , rather than terminating the current process. Typically, a halt trap routine performs some cleanup or reporting operations, then issues a second HALT command to terminate execution.
HANG		HANG: pc hangtime ,... H: pc hangtime ,...	ansi	site/RCOS_chang.html#RCOS_chang	HANG suspends the executing routine for the specified time period. If there are multiple arguments, InterSystems IRIS suspends execution for the duration of each argument in the order presented. The HANG time is calculated using the system clock, which determines its precision.
IF		IF expression1 ,... { code } ELSEIF expression2 ,... { code } ELSE { code }	ansi	site/RCOS_cif.html#RCOS_cif	This page describes the IF , ELSEIF , and ELSE command keywords, all of which are considered to be component clauses of the IF command. The IF keyword can be abbreviated as I ; the other two keywords cannot be abbreviated.
