mnemonic	summary	kind	standard_status_hint	source_section
ALARM	An internal timer for user events has expired.		ansi	site/RERR_system.html#ALARM
BLOCKNUMBER	A reference has been made to a block outside the range of the database file.		ansi	site/RERR_system.html#BLOCKNUMBER
CLUSTERFAIL	A cluster member has failed during global buffer lock processing.		ansi	site/RERR_system.html#CLUSTERFAIL
COLLATECHANGE	There was an attempt to change the collation algorithm while subscripted local variables are defined.		ansi	site/RERR_system.html#COLLATECHANGE
COLLATEMISMATCH	Subscript level mapping failed due to misconfigured collation type.		ansi	site/RERR_system.html#COLLATEMISMATCH
COMMAND	A command has been used improperly in this context, such as an argumentless GoTo in a routine. For further details, refer to $ZERROR .		ansi	site/RERR_system.html#COMMAND
COMMITFAIL	Received during a COMMIT when InterSystems IRIS receives an error while processing a TCommit . This error means that InterSystems IRIS is not sure whether one or more remote machines actually processed the commit.		ansi	site/RERR_system.html#COMMITFAIL
DATABASE	InterSystems IRIS has detected degradation in this database (this is potentially a very serious system error; notify your system manager).		ansi	site/RERR_system.html#DATABASE
DIRECTORY	There is no such directory on the target system, no InterSystems IRIS database, the InterSystems IRIS database is not mounted, or the database is locked by another configuration. For further details, refer to $ZERROR .		ansi	site/RERR_system.html#DIRECTORY
DISCONNECT	A TCP disconnect has been detected while a long-duration request is being processed.		ansi	site/RERR_system.html#DISCONNECT
DISKHARD	InterSystems IRIS has encountered an uncorrectable disk hardware error (this may also be the result of a database problem; notify your system manager).		ansi	site/RERR_system.html#DISKHARD
DIVIDE	There has been an attempt to divide by zero.		ansi	site/RERR_system.html#DIVIDE
DOMAINSPACERETRY	Repeated attempts to contact the domain space master have failed.		ansi	site/RERR_system.html#DOMAINSPACERETRY
DSCON	There has been an attempt to read from a disconnected terminal.		ansi	site/RERR_system.html#DSCON
DSKFUL	An attempt to write data to a disk file failed because the file reached its maximum size; some of the data was written but not all.		ansi	site/RERR_system.html#DSKFUL
DUPLICATEARG	There has been an attempt use $SORTBEGIN with an ancestor or descendent of an already-defined $SORTBEGIN global.		ansi	site/RERR_system.html#DUPLICATEARG
ECODETRAP	A user-generated software trap was generated by setting the $ECODE system variable to a non-null string value.		ansi	site/RERR_system.html#ECODETRAP
EDITED	Incorrect modification of a routine has resulted in a mismatch, such as two copies of a routine with the same name but different timestamps, or the class routine does not match the class descriptor. For example, compiling a routine, then using ZLOAD and ZSAVE on the routine would result in a timestamp mismatch. Also, if the connection to the data server suffers a network outage (neither application server nor data server shuts down), the routines downloaded from the data server are marked as if they had been edited.		ansi	site/RERR_system.html#EDITED
ENDOFFILE	There has been an attempt to read past the end-of-file marker of a sequential file.		ansi	site/RERR_system.html#ENDOFFILE
ERRTRAP	There are insufficient system resources remaining to run an error trap procedure.		ansi	site/RERR_system.html#ERRTRAP
FILEFULL	InterSystems IRIS attempted to allocate a disk block for more global data or routine storage, but the attempt failed because the InterSystems IRIS database is full and could not be expanded.		ansi	site/RERR_system.html#FILEFULL
FRAMESTACK	The routine has too many nested calls to Do , For , Xecute , New , or user-written functions. For further details, refer to $ZERROR .		ansi	site/RERR_system.html#FRAMESTACK
FUNCTION	The specified function does not exist or is being used improperly.		ansi	site/RERR_system.html#FUNCTION
HALTED	An internal error message.		ansi	site/RERR_system.html#HALTED
INTERRUPT	A user has interrupted the routine. (In many implementations, the user has pressed CTRL-C .)		ansi	site/RERR_system.html#INTERRUPT
LABELREDEF	A routine has a duplicate label within it. Labels must be unique within the routine.		ansi	site/RERR_system.html#LABELREDEF
LIST	An improperly-formed list has been used.		ansi	site/RERR_system.html#LIST
LOCKLOST	Some locks once owned by this job have been reset.		ansi	site/RERR_system.html#LOCKLOST
MAGTAPE	A magnetic tape operation encountered an error. Check $ZA .		ansi	site/RERR_system.html#MAGTAPE
MAXARRAY	There are too many subscripts at this level.		ansi	site/RERR_system.html#MAXARRAY
MAXINCREMENT	An attempt to $INCREMENT a variable did not change its value.		ansi	site/RERR_system.html#MAXINCREMENT
MAXNUMBER	An arithmetic operation has produced a number larger than the implementation allows.		ansi	site/RERR_system.html#MAXNUMBER
MAXSCOPE	There has been an attempt to issue more than 31 levels of New commands.		ansi	site/RERR_system.html#MAXSCOPE
MAXSTRING	There has been an attempt to specify or create a data string longer than the string length limit . Attempting to concatenate strings that would result in a string exceeding this maximum string size results in a <MAXSTRING> error.		ansi	site/RERR_system.html#MAXSTRING
MNEMONICSPACE	There has been an attempt to use control mnemonics for a device with no associated mnemonic space.		ansi	site/RERR_system.html#MNEMONICSPACE
NAKED	There has been an attempt to use a naked global reference when the naked state was undefined.		ansi	site/RERR_system.html#NAKED
NAME	There is invalid syntax in a name.		ansi	site/RERR_system.html#NAME
NAMEADD	There has been an overflow of device name table, resulting from the Open command.		ansi	site/RERR_system.html#NAMEADD
NAMESPACE	The specified namespace is undefined or not active.		ansi	site/RERR_system.html#NAMESPACE
NETFORMAT	There has been an error in a network message. The remote system found fault with the format of a request. Call your support center to resolve this serious error.		ansi	site/RERR_system.html#NETFORMAT
NETGLOREF	There has been an error in a network message. The remote system found fault with the format of a request. Call your support center to resolve this serious error.		ansi	site/RERR_system.html#NETGLOREF
NETJOBMAX	Another high-speed networking process cannot be added. This is usually due to an insufficient number of global buffers.		ansi	site/RERR_system.html#NETJOBMAX
NETLOCK	A ObjectScript Lock command has been attempted to a remote computer whose remote system index is greater than 31. To correct, redefine your network configuration to include fewer than 32 remote computers.		ansi	site/RERR_system.html#NETLOCK
NETRETRY	An operation failed at the network level in a way that could be immediately retried.		ansi	site/RERR_system.html#NETRETRY
NETSRVFAIL	During a transaction COMMIT or a Set , Kill , ZKill command, a client system has detected that one of the servers involved in the transaction has restarted while the transaction was open.		ansi	site/RERR_system.html#NETSRVFAIL
