canonical_name	abbreviation	format	standard_status_hint	source_section	description
$ASCII		$ASCII( expression , position ) $A( expression , position )	ansi	site/RCOS_fascii.html#RCOS_fascii	$ASCII returns the character code value for a single character specified in expression . This character can be an 8-bit (extended ASCII) character or a 16-bit (Unicode) character. The returned value is a positive integer.
$BIT		$BIT( bitstring , position ) SET $BIT( bitstring , position ) = value	ansi	site/RCOS_fbit.html#RCOS_fbit	$BIT is used to return a bit value from a compressed bit string. $BIT ( bitstring , position ) returns the bit value (0 or 1) at the specified position, position , in the given bitstring expression bitstring . If no value has been defined for a position , $BIT returns 0 for that position. The position is counted from 1; if position is less than 1 (0 or a negative number) or is greater than the length of the bitstring, the function returns 0.
$BITCOUNT		$BITCOUNT( bitstring , bitvalue )	ansi	site/RCOS_fbitcount.html#RCOS_fbitcount	The $BITCOUNT function counts the number of bits within a bitstring. A bitstring is an encoded string which is interpreted by the system as a series of bits. You can create a bitstring using $BIT or $BITLOGIC .
$BITFIND		$BITFIND( bitstring , bitvalue , position , direction )	ansi	site/RCOS_fbitfind.html#RCOS_fbitfind	$BITFIND( bitstring , bitvalue ) returns the position of the first occurrence of the specified bitvalue (0 or 1) within the bitstring bitstring , searching from left to right. Bit positions are counted from 1 from the beginning of the bit string.
$BITLOGIC		$BITLOGIC( bitstring_expression , length )	ansi	site/RCOS_fbitlogic.html#RCOS_fbitlogic	$BITLOGIC evaluates a bit-wise operation on one or more bitstring values, as specified by bitstring_expression , and returns the resulting bitstring.
$CASE		$CASE( target , case : value , case2 : value2 ,...,: default )	ansi	site/RCOS_fcase.html#RCOS_fcase	The $CASE function compares target to a list of cases, and returns the value of the first matching case . An unlimited number of case : value pairs can be specified. Cases are matched in the order specified (left-to-right); matching stops when the first exact match is encountered.
$CHANGE		$CHANGE( string , searchstr , replacestr , occurrences , begin )	ansi	site/RCOS_fchange.html#RCOS_fchange	"The $CHANGE function returns a new string that consists of a string-for-string replacement of the input string. It searches string for the searchstr substring. If $CHANGE finds one or more matches, it replaces the searchstr substring with replacestr and returns the resulting string. The replacestr parameter value may be long or shorter than searchstr . To remove searchstr substrings, specify the empty string ("""") for replacestr ."
$CHAR		$CHAR( expression ,...) $C( expression ,...)	ansi	site/RCOS_fchar.html#RCOS_fchar	$CHAR returns the character that corresponds to the decimal (base-10) integer value specified by expression . This character can be an 8-bit (ASCII) character, or a 16-bit (Unicode) character. For 8-bit characters, the value in expression must evaluate to a positive integer in the range 0 to 255. For 16-bit characters, specify integers in the range 256 through 65535 (hex FFFF). Values larger than 65535 return an empty string. Values from 65536 (hex 10000) through 1114111 (hex 10FFFF) are used to represent Unicode surrogate pairs; these characters can be returned using $WCHAR .
$CLASSMETHOD		$CLASSMETHOD( classname , methodname , arg1 , arg2 , arg3 , ... )	ansi	site/RCOS_fclassmethod.html#RCOS_fclassmethod	$CLASSMETHOD permits an ObjectScript program to invoke an arbitrary class method in an arbitrary class. Both the class name and the method name may be computed at runtime or supplied as string constants. To invoke an instance method rather than a class method, use the $METHOD function.
$CLASSNAME		$CLASSNAME( oref )	ansi	site/RCOS_fclassname.html#RCOS_fclassname	$CLASSNAME returns the name of a class. Commonly, it takes an object reference (OREF) and returns the corresponding class name. $CLASSNAME with no argument returns the name of the current class. $CLASSNAME always returns the full class name (for example, %SQL.Statement ), not the short version of the class name omitting the package name (for example, Statement ).
