canonical_name	abbreviation	format	standard_status_hint	source_section	description
$DEVICE		$DEVICE $D	ansi	site/RCOS_vdevice.html#RCOS_vdevice	$DEVICE can be used to record device status information. You can use the SET command to place a value in $DEVICE . By convention, this value should describe the outcome of an I/O operation as a 3-piece string, in the form:
$ECODE		$ECODE $EC	ansi	site/RCOS_vecode.html#RCOS_vecode	When an error occurs, InterSystems IRIS sets the $ECODE special variable to a comma-surrounded string containing the error code corresponding to the error. For example, when a reference is made to an undefined global variable, InterSystems IRIS sets the $ECODE special variable to the following string:
$ESTACK		$ESTACK $ES	ansi	site/RCOS_vestack.html#RCOS_vestack	$ESTACK contains the number of context frames saved on the call stack for your job from a user-defined point. You specify this point by creating a new copy of $ESTACK using the NEW command.
$ETRAP		"$ETRAP $ET SET $ETRAP="" cmdline "" SET $ET="" cmdline """	ansi	site/RCOS_vetrap.html#RCOS_vetrap	$ETRAP contains a string that specifies one or more ObjectScript commands that are executed when an error occurs.
$HALT		$HALT	ansi	site/RCOS_vhalt.html#RCOS_vhalt	$HALT contains the name of the current halt trap routine. A halt trap routine is called by your application when a HALT command is encountered. This halt trap routine may perform clean up or logging processing before issuing a HALT command, or it may substitute other processing rather than halting program execution.
$HOROLOG		$HOROLOG $H	ansi	site/RCOS_vhorolog.html#RCOS_vhorolog	$HOROLOG contains the date and time for the current process. It can contain the following values:
$IO		$IO $I	ansi	site/RCOS_vio.html#RCOS_vio	$IO contains the device ID of the current device to which all input/output operations are directed. If the input and output devices are different, $IO contains the ID of the current input device.
$JOB		$JOB $J	ansi	site/RCOS_vjob.html#RCOS_vjob	$JOB contains the ID number of the current process. This ID number is the host operating system’s actual Process ID (PID). This ID number is unique for each process.
$KEY		$KEY $K	ansi	site/RCOS_vkey.html#RCOS_vkey	$KEY contains the character or character sequence that terminated the last READ command on the current device. $KEY and $ZB are very similar in function; see below for a detailed comparison.
$NAMESPACE		$NAMESPACE SET $NAMESPACE= namespace NEW $NAMESPACE	ansi	site/RCOS_vnamespace.html#RCOS_vnamespace	$NAMESPACE contains the name of the current namespace for the current stack level. You can use $NAMESPACE to:
$PRINCIPAL		$PRINCIPAL $P	ansi	site/RCOS_vprincipal.html#RCOS_vprincipal	$PRINCIPAL contains the ID of the principal device for the current process. $PRINCIPAL operates like $IO . Refer to $IO for details of specific device types and system platforms.
$QUIT		$QUIT $Q	ansi	site/RCOS_vquit.html#RCOS_vquit	$QUIT contains a value that indicates whether an argumented QUIT command is required to exit from the current context. If an argumented QUIT is required to exit from the current context, $QUIT contains a one (1). If an argumented QUIT is not required to exit from the current context, $QUIT contains a zero (0).
$ROLES		$ROLES	ansi	site/RCOS_vroles.html#RCOS_vroles	$ROLES contains the list of roles assigned to the current process. This list of roles consists of a comma-separated string that can contain both Login Roles and Added Roles.
$STORAGE		$STORAGE $S	ansi	site/RCOS_vstorage.html#RCOS_vstorage	$STORAGE returns the number of bytes available for local variable storage in the current process partition. The initial value of $STORAGE is established by the value of $ZSTORAGE , the maximum amount of memory available to the process. The larger the $ZSTORAGE value (in kilobytes), the larger the $STORAGE value (in bytes). However, this relationship between $ZSTORAGE and $STORAGE is not a simple 1:1 ratio.
$SYSTEM		$SYSTEM $SY $SYSTEM. class . method ()	ansi	site/RCOS_vsystem.html#RCOS_vsystem	$SYSTEM can be invoked as either a special variable or as a class which invokes methods that return system information.
$TEST		$TEST $T	ansi	site/RCOS_vtest.html#RCOS_vtest	$TEST contains the truth value (1 or 0) resulting from the last command with a timeout. $TEST is set by the following commands, regardless of whether they are entered at the Terminal prompt or encountered in routine code:
$THIS		$THIS	ansi	site/RCOS_vthis.html#RCOS_vthis	$THIS contains the current class context. The class context for an instance method is the current object reference (OREF). The class context for a class method is the current classname as a string value. For example, if you issue the command DO ..method() or SET ..property = value from within a class method, the .. context is resolved using the current value of $THIS . When making a reference within an object instance, the relative dot syntax (..) is preferred.
