canonical_name	abbreviation	format	standard_status_hint	source_section	description
BREAK	B	B[REAK][:tvexpr] [expr[:tvexpr][,...]]	ansi	ProgrammersGuide/commands.rst#Break	The BREAK command pauses execution of the code, issues BREAK warning, and initiates Direct Mode.
CLOSE	C	C[LOSE][:tvexpr] expr[:(keyword[=expr][:...])][,...]	ansi	ProgrammersGuide/commands.rst#Close	The CLOSE command breaks the connection between a process and a device.
DO	D	D[O][:tvexpr] [entryref[(expr|.lvn[,...])][:tvexpr][,...]]	ansi	ProgrammersGuide/commands.rst#Do	The DO command makes an entry in the YottaDB invocation stack and transfers execution to the location specified by the entryref.
ELSE	E	E[LSE]	ansi	ProgrammersGuide/commands.rst#Else	ELSE executes the remainder of the line after the ELSE if $TEST is FALSE (0). YottaDB does not execute the rest of the line if $TEST is TRUE (1).
FOR	F	F[OR][lvn=expr[:numexpr1[:numexpr2]][,...]]]	ansi	ProgrammersGuide/commands.rst#For	The FOR command provides a looping mechanism in YottaDB. FOR does not generate an additional level in the M standard stack model.
GOTO	G	G[OTO][:tvexpr] entryref[:tvexpr][,...]	ansi	ProgrammersGuide/commands.rst#Goto	The GOTO command transfers execution to a location specified by its argument.
HALT	H	H[ALT][:tvexpr]	ansi	ProgrammersGuide/commands.rst#HALT	The HALT command stops program execution and causes YottaDB to return control to the operating system environment that invoked the YottaDB image.
HANG	H	H[ANG][:tvexpr] numexpr[,...]	ansi	ProgrammersGuide/commands.rst#HANG	The HANG command suspends YottaDB program execution for a period of time specified by the command argument.
IF	I	I[F] [tvexpr[,...]]	ansi	ProgrammersGuide/commands.rst#If	The IF command provides conditional execution of the remaining commands on the line. When IF has an argument, it updates $TEST with the truth value of its evaluated argument. YottaDB executes the remainder of a line after an IF statement when $TEST is 1 (TRUE). When $TEST is 0 (FALSE), YottaDB does not execute the rest of the line. When the IF argument evaluates to a literal FALSE (0), YottaDB discards the command and its arguments at compile time, which means it does not perform any validity checking on the remainder of the line.
JOB	J	J[OB][:tvexpr] entryref[(expr[,...])]	ansi	ProgrammersGuide/commands.rst#Job	The JOB command initiates another YottaDB process that executes the named routine.
KILL	K	K[ILL][:tvexpr] [glvn | (lvn[,...]) | *lname | *lvn ]	ansi	ProgrammersGuide/commands.rst#Kill	The KILL command deletes local or global variables and their descendant nodes.
LOCK	L	L[OCK][:tvexpr] [[-|+]nref|(nref[,...])[:numexpr] [,...]]	ansi	ProgrammersGuide/commands.rst#Lock	The LOCK command reserves and releases resource names, and provides a semaphore capability for YottaDB processes. This capability can be used for interprocess synchronization and signaling.
MERGE	M	M[ERGE][:tvexpr] glvn1=glvn2[,...]	ansi	ProgrammersGuide/commands.rst#Merge	The MERGE command copies a variable and all its descendants into another variable. MERGE does not delete the destination variable, nor any of its descendants.
NEW	N	N[EW][:tvexpr] [[(]lvn[,...][)][,...]]	ansi	ProgrammersGuide/commands.rst#New	"The NEW command ""stacks"" copies of local variables and reinitializes those variables. An explicit or implicit QUIT from a DO, XECUTE or extrinsic function ""unstacks"" the NEWed variables, that is, restores the variable to the stacked value. A NEW lasts only while the current scope of execution is active."
OPEN	O	O[PEN][:tvexpr] expr[:[(keyword[=expr][:...])] [:numexpr]][,...]	ansi	ProgrammersGuide/commands.rst#Open	The OPEN command creates a connection between a YottaDB process and a device.
QUIT	Q	Q[UIT][:tvexpr] [expr | *lname | *lvn]	ansi	ProgrammersGuide/commands.rst#Quit	"Except when a QUIT appears on a line after a FOR, the QUIT command terminates the execution of the current YottaDB invocation stack level initiated by a DO, XECUTE, extrinsic function or special variable, and returns control to the next ""lower"" level. In this case, QUIT restores any values stacked at the current level by NEWs or by parameter passing. A QUIT command terminates any closest FOR command on the same line. Note that M overloads the QUIT command to terminate DO, FOR, XECUTE and extrinsics ($$) of which FOR is the most different."
READ	R	R[EAD][:tvexpr] (glvn|*glvn|glvn#intexpr)[:numexpr]|strlit|fcc[,...]	ansi	ProgrammersGuide/commands.rst#READ	The READ command transfers the input from the current device to a global or local variable specified as a READ argument. For convenience, READ also accepts arguments that perform limited output to the current device.
SET	S	S[ET][:tvexpr] setleft=expr | (setleft[,...])=expr | *lvn=lname | aliascontainer[,...]	ansi	ProgrammersGuide/commands.rst#Set	SET assigns values to variables or to a selected portion of a variable.
TCOMMIT	TC	TC[OMMIT][:tvexpr]	ansi	ProgrammersGuide/commands.rst#TCommit	The TCOMMIT command marks the end of a transaction or sub-transaction and decrements $TLEVEL. If TCOMMIT marks the end of a transaction (decrements $TLEVEL to zero), it invokes a COMMIT, which makes the database updates performed by the transaction generally available. A TCOMMIT issued when no transaction is in progress ($TLEVEL=0) produces an error.
TRESTART	TRE	TRE[START][:tvexpr]	ansi	ProgrammersGuide/commands.rst#TREstart	The TRESTART command attempts to RESTART the current transaction. A RESTART transfers control back to the initial TSTART and restores much of the process state to what it was when that TSTART was originally executed. A TRESTART issued when no transaction is in progress ($TLEVEL=0) or when the transaction does not have RESTART enabled produces an error.
TROLLBACK	TRO	TRO[LLBACK][:tvexpr] [intexpr]	ansi	ProgrammersGuide/commands.rst#TROllback	The TROLLBACK command terminates a transaction by causing a ROLLBACK, which removes all database updates performed within a transaction. A TROLLBACK without an argument also sets $TLEVEL and $TRESTART to zero (0). Issuing a TROLLBACK when no transaction is in progress ($TLEVEL=0) produces an error.
TSTART	TS	TS[TART][:tvexpr] [([lvn...])|lvn|*|][:keyword|(keyword...)]	ansi	ProgrammersGuide/commands.rst#TStart	The TSTART command marks the beginning of a transaction or sub-transaction and increments $TLEVEL. When TSTART marks the beginning of a transaction ($TLEVEL=1), its arguments determine whether the transaction may RESTART. If a transaction restarts, the TSTART arguments determine which local variables are restored during a RESTART. YottaDB always serializes transactions.
USE	U	U[SE][:tvexpr] expr[:(keyword[=expr][:...])][,...]	ansi	ProgrammersGuide/commands.rst#Use	The USE command selects the current device for READs (input) and WRITEs (output).
VIEW	V	V[IEW][:tvexpr] keyword[:expr2[:...]][,...]	ansi	ProgrammersGuide/commands.rst#View	The VIEW command adjusts an environmental factor selected by a keyword argument. For example, VIEW controls journal buffer flushing, determines whether YottaDB reports undefined variables as errors or treats them as null, and determines which BREAK commands should display messages.
WRITE	W	W[RITE][:tvexpr] expr|*intexpr|fcc[,...]	ansi	ProgrammersGuide/commands.rst#Write	The WRITE command transfers a character stream specified by its arguments to the current device.
XECUTE	X	X[ECUTE]:tvexpr expr[:tvexpr][,...]	ansi	ProgrammersGuide/commands.rst#Xecute	The XECUTE command makes an entry in the YottaDB invocation stack and executes the argument as YottaDB code.
ZALLOCATE	ZA	ZA[LLOCATE][:tvexpr] [(]nref[,...][)][:intexpr][,...]	ydb-extension	ProgrammersGuide/commands.rst#ZAllocate	The ZALLOCATE command reserves the specified name without releasing previously reserved names. Other YottaDB processes cannot reserve the ZALLOCATEd name with a ZALLOCATE or LOCK command.
ZBREAK	ZB	ZB[REAK][:tvexpr] [-]entryref[:[expr][:intexpr]][,...]	ydb-extension	ProgrammersGuide/commands.rst#ZBREAK	The ZBREAK command sets or clears routine breakpoints during debugging.
ZCOMPILE	ZCOM	ZCOM[PILE][:tvexpr] expr[,...]	ydb-extension	ProgrammersGuide/commands.rst#ZCOMpile	The ZCOMPILE command invokes the YottaDB M compiler from within a YottaDB process.
ZCONTINUE	ZC	ZC[ONTINUE][:tvexpr]	ydb-extension	ProgrammersGuide/commands.rst#ZContinue	The ZCONTINUE command continues routine execution after a BREAK command or a <CTRL-C>.
ZDEALLOCATE	ZD	ZD[EALLOCATE][:tvexpr] [nref[,...]]	ydb-extension	ProgrammersGuide/commands.rst#ZDeallocate	The ZDEALLOCATE command releases a specified resource name or names previously reserved by the ZALLOCATE command. The ZDEALLOCATE command releases only the specified name(s) without releasing other names previously reserved with the ZALLOCATE or LOCK command.
ZEDIT	ZED	ZED[IT][:tvexpr] [expr[,...]]	ydb-extension	ProgrammersGuide/commands.rst#ZEdit	The ZEDIT command invokes the editor specified by the EDITOR environment variable for YottaDB and opens the specified file for editing. If the EDITOR environment variable is undefined, ZEDIT tries to invoke the UNIX vi editor.
ZGOTO	ZG	ZG[OTO][:tvexpr] [[intexpr][:entryref[:tvexpr]],...]	ydb-extension	ProgrammersGuide/commands.rst#ZGoto	The ZGOTO command transfers control to various levels in the YottaDB invocation stack. It also can transfer control from one part of the routine to another or from one routine to another using the specified entryref.
ZHALT	ZHALT	ZHALT[:tvexpr] [intexpr]	ydb-extension	ProgrammersGuide/commands.rst#ZHALT	The ZHALT command stops program execution and causes YottaDB to return control to the invoking environment/program with a return code.
ZHELP	ZH	ZH[ELP][:tvexpr] [expr1[:expr2],...]	ydb-extension	ProgrammersGuide/commands.rst#ZHelp	The ZHELP command accesses the help information from the YottaDB help library or from any help library specified in the command argument.
ZKILL	ZK	ZK[ILL][:tvexpr] glvn	ydb-extension	ProgrammersGuide/commands.rst#ZKill	The ZKILL command KILLs the data value for a variable name without affecting the nodes descended from that node.
ZLINK	ZL	ZL[INK][:tvexpr] [expr1[:expr2][,...]]	ydb-extension	ProgrammersGuide/commands.rst#ZLink	"The ZLINK command adds an executable YottaDB routine to the current process if the current process does not contain a copy of a routine. If the current process contains a copy of a routine and the routine is not active, the ZLINK command replaces the current routine process with a ""new"" version. If necessary, the ZLINK command compiles the routine prior to integrating it with the process."
ZMESSAGE	ZM	ZM[ESSAGE][:tvexpr] intexpr[:expr2][:...]	ydb-extension	ProgrammersGuide/commands.rst#ZMessage	The ZMESSAGE command raises an exception condition based on the specified message code.
ZPRINT	ZP	ZP[RINT][:tvexpr] [entryref[:label[+intexpr]][,...]	ydb-extension	ProgrammersGuide/commands.rst#ZPrint	The ZPRINT command displays the source code lines selected by its argument.
ZRUPDATE	ZRUP	ZRUP[DATE][:tvexpr] expr [,...]	ydb-extension	ProgrammersGuide/commands.rst#ZRUPdate	Publishes the new versions of routines to subscribers. The format of the ZRUPDATE command is:
ZSHOW	ZSH	ZSH[OW][:tvexpr] [expr[:glvn[:level]][,...]]	ydb-extension	ProgrammersGuide/commands.rst#ZSHow	The ZSHOW command displays information about the current YottaDB environment.
ZSTEP	ZST	ZST[EP][:tvexpr] [keyword[:expr]][,...]	ydb-extension	ProgrammersGuide/commands.rst#ZSTep	The ZSTEP command provides the ability to control YottaDB execution. When a ZSTEP is issued from Direct Mode, execution continues to the beginning of the next target line and then YottaDB XECUTEs the ZSTEP action. The keyword in the optional ZSTEP argument determines the class of eligible target lines.
ZSYSTEM	ZSY	ZSY[STEM][:tvexpr] [expr][,...]]	ydb-extension	ProgrammersGuide/commands.rst#ZSYstem	The ZSYSTEM command creates a child of the current process.
ZTCOMMIT	ZTC	ZTC[OMMIT][:tvexpr] [intexpr]	ydb-extension	ProgrammersGuide/commands.rst#ZTCommit	"The ZTCOMMIT command marks the end of a logical transaction within a YottaDB program. ZTCOMMIT used with ZTSTART ""fences"" transactions (that is, marks the end and beginning). Fencing transactions allows the MUPIP JOURNAL facility to prevent incomplete application transactions consisting of multiple global updates from affecting the database during a database recovery. YottaDB strongly recommends the use of the M transaction processing commands such as TSTART and TCOMMIT rather than ZTSTART and ZTCOMMIT. YottaDB no longer tests the deprecated ZTSTART / ZTCOMMIT functionally."
