canonical_name	abbreviation	format	standard_status_hint	source_section	description
$ASCII	$A	$A[SCII](expr[,intexpr])	ansi	ProgrammersGuide/functions.rst#$ASCII()	Returns the integer ASCII code for a character in the given string. For a yottadb process started in UTF-8 mode, $ASCII() returns the integer Unicode® UTF-8 code-point value of a character in the given string.
$CHAR	$C	$C[HAR](intexpr[,...])	ansi	ProgrammersGuide/functions.rst#$CHAR()	Returns a string of one or more characters corresponding to integer ASCII codes specified in its argument(s). For a process started in UTF-8 mode, $CHAR() returns a string composed of characters represented by the integer equivalents of the Unicode® code-points specified in its argument(s).
$DATA	$D	$D[ATA](glvn)	ansi	ProgrammersGuide/functions.rst#$DATA()	Returns an integer code describing the value and descendent status of a local or global variable.
$EXTRACT	$E	$E[XTRACT](expr[,intexpr1[,intexpr2]])	ansi	ProgrammersGuide/functions.rst#$EXTRACT()	Returns a substring of a given string.
$FIND	$F	$F[IND](expr1,expr2[,intexpr])	ansi	ProgrammersGuide/functions.rst#$FIND()	Returns an integer character position that locates the occurrence of a substring within a string.
$FNUMBER	$FN	$FN[UMBER](numexpr,expr[,intexpr])	ansi	ProgrammersGuide/functions.rst#$FNUMBER()	Returns a string containing a formatted number.
$GET	$G	$G[ET](glvn[,expr])	ansi	ProgrammersGuide/functions.rst#$GET()	Returns the value of a local or global variable if the variable has a value. If the variable has no value, the function returns a value specified by an optional second argument, and otherwise returns an empty string.
$INCREMENT		$INCREMENT(glvn[,numexpr])	ansi	ProgrammersGuide/functions.rst#$INCREMENT()	Atomically adds (increments) a global variable by a numeric value. Note that increment is atomic, but the evaluation of the expression is not, unless inside a transaction (TStart/TCommit). The function also works on local variables, but has less benefit for locals as it does not (need to) provide ACID behavior.
$JUSTIFY	$J	$J[USTIFY](expr,intexpr1[,intexpr2])	ansi	ProgrammersGuide/functions.rst#$JUSTIFY()	Returns a formatted string.
$LENGTH	$L	$L[ENGTH](expr1[,expr2])	ansi	ProgrammersGuide/functions.rst#$LENGTH()	"Returns the length of a string measured in characters, or in ""pieces"" separated by a delimiter specified by one of its arguments."
$NAME	$NA	$NA[ME](glvn[,intexpr])	ansi	ProgrammersGuide/functions.rst#$NAME()	Returns an evaluated representation of some or all of a local or global variable name.
$NEXT	$N	$N[EXT](glvn)	ansi	ProgrammersGuide/functions.rst#$NEXT()	Returns the next subscripted local or global variable name in collation sequence within the array level specified by its argument.
$ORDER	$O	$O[RDER](glvn[,expr])	ansi	ProgrammersGuide/functions.rst#$ORDER()	Returns the subscript of the next or prior local or global variable name in collation sequence within the array level specified by its first argument. In doing so, it moves in the direction specified by the second argument. In YottaDB, when $ORDER() has an unsubscripted argument, it returns the next or previous unsubscripted local or global variable name in collating sequence.
$PIECE	$P	$P[IECE](expr1,expr2[,intexpr1[,intexpr2]])	ansi	ProgrammersGuide/functions.rst#$PIECE()	Returns a substring delimited by a specified string delimiter made up of one or more characters. In M, $PIECE() returns a logical field from a logical record.
$QLENGTH	$QL	$QL[ENGTH](namevalue)	ansi	ProgrammersGuide/functions.rst#$QLENGTH()	Returns the number of subscripts in a variable name. The format is:
$QSUBSCRIPT	$QS	$QS[UBSCRIPT](namevalue, intexpr)	ansi	ProgrammersGuide/functions.rst#$QSUBSCRIPT()	Returns a component of a variable name.
$QUERY	$Q	$Q[UERY](glvn[,expr])	ansi	ProgrammersGuide/functions.rst#$QUERY()	Returns the next or previous subscripted local or global variable node name, independent of level, which follows or precedes the node specified by its argument in M collating sequence and has a data value.
$RANDOM	$R	$R[ANDOM](intexpr)	ansi	ProgrammersGuide/functions.rst#$RANDOM()	Returns a pseudo-random integer from a range specified by its argument.
$REVERSE	$RE	$RE[VERSE](expr)	ansi	ProgrammersGuide/functions.rst#$REVERSE()	Returns a string with the characters in the reverse order from that of its argument.
$SELECT	$S	$S[ELECT](tvexpr:expr[,...])	ansi	ProgrammersGuide/functions.rst#$SELECT()	Returns a value associated with the first true truth-valued expression in a list of paired expression arguments.
$STACK	$ST	$ST[ACK](intexpr[,expr])	ansi	ProgrammersGuide/functions.rst#$STACK()	Returns strings describing aspects of the execution environment.
$TEXT	$T	$T[EXT](entryref)	ansi	ProgrammersGuide/functions.rst#$TEXT()	Returns source text for the line specified by its argument.
$TRANSLATE	$TR	$TR[ANSLATE](expr1[,expr2[,expr3]])	ansi	ProgrammersGuide/functions.rst#$TRANSLATE()	Returns a string that results from replacing or dropping characters in the first of its arguments as specified by the patterns of its other arguments.
$VIEW	$V	$V[IEW](expr1[,expr2])	ansi	ProgrammersGuide/functions.rst#$VIEW()	Returns information about an environmental factor selected by the arguments. In YottaDB, the first argument contains a keyword identifying the environmental factor and, where appropriate, subsequent arguments select among multiple possible occurrences of that factor.
$ZAHANDLE	$ZAHA	$ZAHA[NDLE](lvn)	ydb-extension	ProgrammersGuide/functions.rst#$ZAHANDLE()	$ZAHANDLE() returns a unique identifier (handle) for the array associated with a name or an alias container; for an subscripted lvn, it returns an empty string. To facilitate debugging, the handle is a printable string representation of a hexadecimal number. The only meaningful operation on the value returned by a call to $ZAHANDLE() is to compare it for equality with the value returned by another call. Changing nodes within the array doesn't change its handle. $ZAHANDLE() returns different results for copies of an array.
$ZASCII	$ZA	$ZA[SCII](expr[,intexpr])	ydb-extension	ProgrammersGuide/functions.rst#$ZASCII()	Returns the numeric byte value (0 through 255) of a given sequence of octets (8-bit bytes).
$ZATRANSFORM		$ZATRANSFORM(expr,intexpr[,{0|1|2|-2}][,{0|1}])	ydb-extension	ProgrammersGuide/functions.rst#$ZATRANSFORM()	Returns the transformed representation of the first argument expr in a normalized form using the alternative transform specified by the second argument intexpr; the return can be used as an operand to the follows (]) or sorts-after (]]) operator such that, if both operands are in the normalized form, the result is independent of alternative collation. The format for the $ZATRANSFORM function is:
$ZBITAND		$ZBITAND(expr1,expr2)	ydb-extension	ProgrammersGuide/functions.rst#$ZBIT Functions	A series of functions beginning with $ZBIT lets you manipulate a bit stream. Internally, YottaDB stores a bit stream in the form of a bit string. A bit string embeds a bit stream in such a way that the first byte specifies the number of trailing bits in the last byte that are not part of the bit-stream. In this way, YottaDB is able to store bit-streams of lengths other than multiples of 8 bits in byte format. So for example, a first byte of value of zero (0) indicates that all of the bits in the last byte belong to the bit-stream, while a one (1) indicates the last bit is excluded and a seven (7) indicates that only the first bit in the last byte belongs to the bit-stream.
$ZCHAR	$ZCH	$ZCH[AR](intexpr[,...])	ydb-extension	ProgrammersGuide/functions.rst#$ZCHAR()	Returns a string composed of bytes represented by the integer octet values specified in its argument(s).
$ZCOLLATE	$ZCO	$ZCO[LLATE](glvn,intexpr[,{0|1}])	ydb-extension	ProgrammersGuide/functions.rst#$ZCOLLATE()	Returns the transformed representation of the first argument glvn in a normalized form using the alternative transform specified by the second argument intexpr; the return can be used as an operand to the follows (]) or sorts-after (]]) operator such that, if both operands are in the normalized form, the result is independent of alternative collation.
$ZCONVERT	$ZCO	$ZCO[NVERT](expr1, expr2,[expr3])	ydb-extension	ProgrammersGuide/functions.rst#$ZCONVERT()	"Returns its first argument as a string or value converted to a different encoding or numeric base. The two argument form changes the encoding for case within the ASCII character set. The three argument form changes the encoding scheme or base. Supported bases are decimal (:code:`""DEC""` and :code:`""HEX""`, case insensitive)."
$ZDATA	$ZDAT	$ZDAT[A](glvn)	ydb-extension	ProgrammersGuide/functions.rst#$ZDATA()	Extends $DATA() to reflect the current alias state of the lvn or name argument to identify alias and alias container variables. It treats variables joined through pass-by-reference as well as TP RESTART variables within a transaction as alias variables. However, it does not distinguish nodes having alias containers among their descendants.
$ZDATE	$ZD	$ZD[ATE](expr1[,expr2[,expr3[,expr4]]]])	ydb-extension	ProgrammersGuide/functions.rst#$ZDATE()	"Returns a date and/or time formatted as text based on an argument formatted in the manner of $HOROLOG. For information on the format of $HOROLOG, refer to `Chapter 8: ""Intrinsic Special Variables"" <./isv.html>`_."
$ZEXTRACT	$ZE	$ZE[XTRACT](expr[,intexpr1[,intexpr2]])	ydb-extension	ProgrammersGuide/functions.rst#$ZEXTRACT()	Returns a byte sequence from a given sequence of octets (8-bit bytes).
$ZFIND	$ZF	$ZF[IND](expr1,expr2[,intexpr])	ydb-extension	ProgrammersGuide/functions.rst#$ZFIND()	Returns an integer byte position that locates the occurrence of a byte sequence within a sequence of octets(8-bit bytes).
$ZGETJPI		$ZGETJPI(expr1,expr2)	ydb-extension	ProgrammersGuide/functions.rst#$ZGETJPI()	Returns job or process information of the specified process. The format for the $ZGETJPI()) function is:
$ZJOBEXAM		$ZJOBEXAM([expr1[,expr2]])	ydb-extension	ProgrammersGuide/functions.rst#$ZJOBEXAM()	$ZJOBEXAM([expr1[,expr2]])
$ZJUSTIFY	$ZJ	$ZJ[USTIFY](expr,intexpr1[,intexpr2])	ydb-extension	ProgrammersGuide/functions.rst#$ZJUSTIFY()	Returns a formatted and fixed length byte sequence.
$ZLENGTH	$ZL	$ZL[ENGTH](expr1[,expr2])	ydb-extension	ProgrammersGuide/functions.rst#$ZLENGTH()	"Returns the length of a sequence of octets measured in bytes, or in ""pieces"" separated by a delimiter specified by one of its arguments."
$ZMESSAGE	$ZM	$ZM[ESSAGE](intexpr)	ydb-extension	ProgrammersGuide/functions.rst#$ZMESSAGE()	Returns a message string associated with a specified status code .
$ZPARSE		$ZPARSE(expr1[,expr2[,expr3[,expr4[,expr5]]]])	ydb-extension	ProgrammersGuide/functions.rst#$ZPARSE()	Expands a file name to a full pathname and then returns the full pathname or one of its fields (directory, name, or extension).
$ZPEEK		"$ZPEEK(""mnemonic[:argument]"",offset,length[,format])"	ydb-extension	ProgrammersGuide/functions.rst#$ZPEEK()	Provides a way to examine memory in the current process address space. Use of this function requires information about YottaDB internals, which may change from release to release. Contact YottaDB support for information on techniques for using $ZPEEK() in largely release independent ways.
$ZPIECE	$ZPI	$ZPI[ECE](expr1,expr2[,intexpr1[,intexpr2]])	ydb-extension	ProgrammersGuide/functions.rst#$ZPIECE()	Return a sequence of bytes delimited by a specified byte sequence made up of one or more bytes.
$ZPREVIOUS	$ZP	$ZP[REVIOUS](glvn)	ydb-extension	ProgrammersGuide/functions.rst#$ZPREVIOUS()	The $ZPREVIOUS function returns the subscript of the previous local or global variable name in collation sequence within the array level specified by its argument. When $ZPREVIOUS() has an unsubscripted argument, it returns the previous unsubscripted local or global variable name in collating sequence.
