canonical_name	abbreviation	format	standard_status_hint	source_section	description
$DEVICE	$D	$D[EVICE]	ansi	ProgrammersGuide/isv.rst#$DEVICE	$D[EVICE] reflects the status of the current device. If the status of the device does not reflect an error-condition, the value of $DEVICE, when interpreted as a truth-value is 0 (FALSE). If the status of the device reflects an error condition, the value of $DEVICE, when interpreted as a truth-value is 1 (TRUE).
$ECODE	$EC	$EC[ODE]	ansi	ProgrammersGuide/isv.rst#$ECODE	"$EC[ODE] contains a list of error codes for ""active"" errors - error conditions which are not yet resolved. If there are no active errors, $ECODE contains the empty string. Whenever an error occurs, a code for that error is appended to the value of $ECODE in such a way that the value of $ECODE always starts and ends with a comma."
$ESTACK	$ES	$ES[TACK]	ansi	ProgrammersGuide/isv.rst#$ESTACK	$ES[TACK] contains an integer count of the number of M virtual machine stack levels that have been activated and not removed since the last time $ESTACK was NEW'd.
$ETRAP	$ET	$ET[RAP]	ansi	ProgrammersGuide/isv.rst#$ETRAP	"$ET[RAP] contains a string value that YottaDB invokes when an error occurs during routine execution. When a process is initiated, YottaDB assigns $ETRAP the value of the ydb_etrap environment variable, if ydb_etrap is defined, and otherwise the empty string, in which case $ZTRAP=""B"" controls initial error handling."
$HOROLOG	$H	$H[OROLOG]	ansi	ProgrammersGuide/isv.rst#$HOROLOG	"$H[OROLOG] contains a string value specifying the number of days since ""31 December, 1840,"" and the number of seconds since the midnight of that date in the time zone of the process, separated by a comma (,). At midnight, the piece of the string following the comma resets to zero (0), and the piece preceding the comma increments by one (1). YottaDB does not permit the SET command to modify $HOROLOG. A process takes the system time from the system clock, but can adjust the time zone by appropriately setting the TZ environment variable before invoking YottaDB."
$IO	$I	$I[O]	ansi	ProgrammersGuide/isv.rst#$IO	$I[O] contains the name of the current device specified by the last USE command. The M standard does not permit the SET command to modify $IO. USE 0 produces the same $IO as USE $P[RINCIPAL], but $P is the preferred construct.
$JOB	$J	$J[OB]	ansi	ProgrammersGuide/isv.rst#$JOB	$J[OB] is the current process identifier.
$KEY	$K	$K[EY]	ansi	ProgrammersGuide/isv.rst#$KEY	$K[EY] contains the string that terminated the most recent READ command from the current device (including any introducing and terminating characters). If no READ command was issued to the current device or if no terminator is used, the value of $KEY is an empty string. However, when input is terminated by typing a function key, the value of $KEY is equal to the string of characters that is transmitted by that function key.
$PRINCIPAL	$P	$P[RINCIPAL]	ansi	ProgrammersGuide/isv.rst#$PRINCIPAL	$P[RINCIPAL] contains the absolute pathname of the principal (initial $IO) device. $PRINCIPAL is an MDC Type A enhancement to standard M.
$QUIT	$Q	$Q[UIT]	ansi	ProgrammersGuide/isv.rst#$QUIT	$Q[UIT] indicates whether the current block of code was called as an extrinsic function or as a subroutine.
$REFERENCE	$R	$R[EFERENCE]	ansi	ProgrammersGuide/isv.rst#$REFERENCE	"$R[EFERENCE] contains the last global reference. Until the first global reference is made by an M program or after a global reference with an invalid key, $REFERENCE contains the empty string (""""). This way it is useful in determining if the usage of a naked reference is valid."
$STACK	$ST	$ST[ACK]	ansi	ProgrammersGuide/isv.rst#$STACK	$ST[ACK] contains an integer value of zero (0) or greater indicating the current level of M execution stack depth.
